Date,Remarks,SSC_Conc
11/16/75,,75
11/17/75,,59
11/18/75,,53
11/19/75,,42
11/20/75,,40
11/21/75,,44
11/22/75,,44
11/23/75,,39
11/24/75,,39
11/25/75,,37
11/26/75,,40
11/27/75,,50
11/28/75,,50
11/29/75,,41
11/30/75,,37
12/1/75,,34
12/2/75,,35
12/2/75,,40
12/3/75,,57
12/4/75,,64
12/5/75,,64
12/6/75,,45
12/7/75,,40
12/8/75,,39
12/9/75,,40
12/10/75,,52
12/11/75,,42
12/12/75,,37
12/13/75,,39
12/14/75,,34
12/15/75,,32
12/16/75,,26
12/17/75,,33
12/18/75,,52
12/19/75,,29
12/20/75,,40
12/21/75,,33
12/22/75,,64
12/23/75,,46
12/25/75,,82
12/26/75,,63
12/27/75,,43
12/28/75,,56
12/29/75,,66
12/30/75,,43
12/31/75,,63
1/1/76,,81
1/2/76,,55
1/3/76,,37
1/4/76,,51
1/5/76,,43
1/6/76,,36
1/7/76,,67
1/7/76,,50
1/8/76,,49
1/9/76,,43
1/10/76,,34
1/11/76,,59
1/12/76,,53
1/13/76,,40
1/14/76,,48
1/15/76,,42
1/16/76,,47
1/17/76,,41
1/18/76,,43
1/19/76,,45
1/20/76,,45
1/21/76,,57
1/21/76,,55
1/22/76,,55
1/23/76,,59
1/24/76,,62
1/25/76,,74
1/26/76,,61
1/28/76,,60
1/29/76,,65
1/30/76,,61
1/31/76,,66
2/1/76,,61
2/2/76,,57
2/3/76,,55
2/3/76,,59
2/4/76,,63
2/5/76,,52
2/6/76,,58
2/8/76,,58
2/9/76,,77
2/10/76,,95
2/11/76,,83
2/12/76,,70
2/13/76,,70
2/14/76,,69
2/15/76,,78
2/16/76,,71
2/17/76,,56
2/18/76,,65
2/19/76,,67
2/20/76,,53
2/21/76,,48
2/22/76,,52
2/23/76,,56
2/24/76,,40
2/25/76,,42
2/26/76,,49
2/27/76,,53
2/28/76,,58
2/29/76,,58
3/1/76,,49
3/1/76,,49
3/2/76,,64
3/3/76,,62
3/4/76,,51
3/5/76,,49
3/6/76,,58
3/7/76,,62
3/8/76,,58
3/9/76,,53
3/10/76,,58
3/11/76,,67
3/12/76,,74
3/13/76,,52
3/14/76,,52
3/15/76,,56
3/16/76,,58
3/17/76,,59
3/18/76,,77
3/19/76,,63
3/20/76,,60
3/21/76,,62
3/22/76,,72
3/23/76,,72
3/24/76,,72
3/26/76,,76
3/27/76,,64
3/28/76,,59
3/29/76,,84
3/30/76,,75
3/31/76,,78
4/1/76,,82
4/1/76,,81
4/2/76,,81
4/3/76,,83
4/4/76,,90
4/5/76,,97
4/6/76,,100
4/7/76,,100
4/8/76,,116
4/10/76,,114
4/11/76,,96
4/12/76,,106
4/13/76,,115
4/14/76,,118
4/15/76,,111
4/16/76,,104
4/17/76,,104
4/18/76,,117
4/19/76,,118
4/20/76,,138
4/22/76,,134
4/23/76,,126
4/24/76,,124
4/26/76,,126
4/27/76,,108
4/28/76,,109
4/29/76,,124
4/30/76,,141
5/1/76,,136
5/2/76,,137
5/3/76,,130
5/4/76,,155
5/4/76,,154
5/5/76,,144
5/6/76,,156
5/7/76,,169
5/8/76,,176
5/9/76,,158
5/10/76,,156
5/11/76,,164
5/12/76,,161
5/13/76,,190
5/14/76,,194
5/15/76,,178
5/16/76,,190
5/17/76,,204
5/18/76,,156
5/19/76,,154
5/20/76,,140
5/21/76,,158
5/22/76,,165
5/23/76,,156
5/24/76,,212
5/25/76,,188
5/26/76,,188
5/27/76,,158
5/28/76,,160
5/29/76,,160
5/30/76,,134
5/31/76,,146
6/1/76,,168
6/2/76,,159
6/3/76,,172
6/3/76,,158
6/4/76,,154
6/5/76,,158
6/6/76,,180
6/7/76,,190
6/8/76,,178
6/9/76,,203
6/10/76,,182
6/11/76,,194
6/12/76,,218
6/13/76,,243
6/14/76,,208
6/15/76,,200
6/16/76,,160
6/17/76,,139
6/18/76,,156
6/19/76,,152
6/20/76,,166
6/21/76,,207
6/22/76,,190
6/23/76,,156
6/24/76,,158
6/25/76,,202
6/26/76,,218
6/27/76,,250
6/28/76,,301
6/29/76,,295
6/30/76,,246
